"","x"
"1","7100-11300"
"2","7500-9300"
"3","7900-11600"
"4","8000-12400"
"5","8300-15800"
"6","8800-15000"
"7","9100-9000"
"8","9200-7600"
"9","9300-13600"
"10","9300-15400"
"11","9300-16000"
"12","9600-7100"
"13","9600-15200"
"14","9700-8900"
"15","9700-11000"
"16","10100-10400"
"17","10900-16900"
"18","11100-17500"
"19","11300-11800"
"20","11400-5900"
"21","11400-6200"
"22","11600-5400"
"23","11800-16600"
"24","12100-13600"
"25","12200-10400"
"26","12200-14500"
"27","12300-17500"
"28","12900-5000"
"29","13000-4500"
"30","13200-10900"
"31","13400-5000"
"32","13500-15300"
"33","13700-9500"
"34","14000-14500"
"35","14100-5800"
"36","14100-6500"
"37","14400-15400"
"38","14600-12000"
"39","14800-15200"
"40","15000-4700"
"41","15100-4800"
"42","15300-7200"
"43","15500-11900"
"44","15600-3500"
"45","15700-16400"
"46","16000-4300"
"47","16000-5500"
"48","16200-5400"
"49","16200-12700"
"50","16200-13800"
"51","16400-9900"
"52","16500-15200"
"53","16700-7000"
"54","16800-10600"
"55","16800-16000"
"56","16900-15500"
"57","17000-13900"
"58","17400-4400"
"59","17400-5100"
"60","17600-8100"
"61","17600-12100"
"62","18300-7000"
"63","18800-3200"
"64","18900-3100"
"65","18900-12400"
"66","19100-4800"
"67","19200-8100"
"68","19300-11000"
"69","19400-7300"
"70","19500-6000"
"71","19600-5200"
"72","19700-12500"
"73","19800-4800"
"74","19800-7300"
"75","19900-8000"
"76","20000-3400"
"77","20000-13000"
"78","20200-7200"
"79","20600-6900"
"80","20900-6900"
"81","21600-8700"
"82","21700-8500"
"83","21700-8600"
"84","21700-11700"
"85","21700-14800"
"86","22000-8200"
"87","22200-7000"
"88","22500-11800"
"89","22500-14200"
"90","23000-10900"
"91","23400-16400"
"92","23600-7100"
"93","23600-14400"
"94","24000-6600"
"95","24000-11400"
"96","24000-11900"
"97","24100-11200"
"98","9400-9100"
"99","10300-12700"
"100","10500-7500"
"101","11000-11200"
"102","15200-13800"
"103","21000-10500"
"104","21300-13700"
"105","22700-10300"
"106","6500-10700"
"107","6500-11100"
"108","6600-11200"
"109","6700-9400"
"110","6700-10700"
"111","6700-11700"
"112","6800-10200"
"113","6800-10300"
"114","6800-11000"
"115","6800-11200"
"116","6800-11300"
"117","6800-12300"
"118","6900-10000"
"119","6900-10600"
"120","6900-10700"
"121","6900-11700"
"122","6900-12100"
"123","6900-12200"
"124","6900-12800"
"125","7000-10000"
"126","7000-10600"
"127","7000-10800"
"128","7000-10900"
"129","7000-11100"
"130","7000-11200"
"131","7000-11300"
"132","7000-11400"
"133","7000-12500"
"134","7000-13100"
"135","7100-9000"
"136","7100-9800"
"137","7100-10500"
"138","7100-10600"
"139","7100-10800"
"140","7100-11000"
"141","7100-11100"
"142","7100-11200"
"143","7100-11500"
"144","7100-11600"
"145","7100-11900"
"146","7100-13200"
"147","7100-13300"
"148","7200-9400"
"149","7200-9800"
"150","7200-10600"
"151","7200-10700"
"152","7200-10800"
"153","7200-11600"
"154","7200-11700"
"155","7200-12000"
"156","7200-12200"
"157","7200-12400"
"158","7300-9300"
"159","7300-9400"
"160","7300-9700"
"161","7300-9800"
"162","7300-10100"
"163","7300-10400"
"164","7300-10500"
"165","7300-10800"
"166","7300-11000"
"167","7300-11300"
"168","7300-11400"
"169","7300-11600"
"170","7300-11700"
"171","7300-11800"
"172","7300-12000"
"173","7300-12200"
"174","7300-12500"
"175","7300-12900"
"176","7300-13000"
"177","7300-13100"
"178","7400-9500"
"179","7400-9700"
"180","7400-9800"
"181","7400-10000"
"182","7400-10600"
"183","7400-10800"
"184","7400-10900"
"185","7400-11000"
"186","7400-11200"
"187","7400-11300"
"188","7400-11700"
"189","7400-12400"
"190","7400-12500"
"191","7400-12600"
"192","7400-12900"
"193","7400-13600"
"194","7500-9000"
"195","7500-9600"
"196","7500-9700"
"197","7500-9900"
"198","7500-10300"
"199","7500-10700"
"200","7500-10800"
"201","7500-11000"
"202","7500-11100"
"203","7500-11200"
"204","7500-11900"
"205","7500-12400"
"206","7500-12500"
"207","7500-12800"
"208","7500-13200"
"209","7600-8800"
"210","7600-9200"
"211","7600-9400"
"212","7600-9600"
"213","7600-10000"
"214","7600-10100"
"215","7600-10500"
"216","7600-10700"
"217","7600-10900"
"218","7600-11200"
"219","7600-11500"
"220","7600-11800"
"221","7600-11900"
"222","7600-12000"
"223","7600-12200"
"224","7600-12300"
"225","7600-12500"
"226","7600-12800"
"227","7600-13000"
"228","7600-13100"
"229","7600-13400"
"230","7700-8400"
"231","7700-8800"
"232","7700-9000"
"233","7700-9100"
"234","7700-9200"
"235","7700-9300"
"236","7700-9400"
"237","7700-9800"
"238","7700-10000"
"239","7700-10400"
"240","7700-10600"
"241","7700-10800"
"242","7700-11500"
"243","7700-11600"
"244","7700-11800"
"245","7700-13000"
"246","7700-13100"
"247","7700-13200"
"248","7700-13400"
"249","7700-13500"
"250","7800-8300"
"251","7800-8400"
"252","7800-8500"
"253","7800-8700"
"254","7800-9100"
"255","7800-9300"
"256","7800-9400"
"257","7800-9600"
"258","7800-9700"
"259","7800-10000"
"260","7800-10300"
"261","7800-10700"
"262","7800-11000"
"263","7800-11300"
"264","7800-11800"
"265","7800-12000"
"266","7800-12100"
"267","7800-12400"
"268","7800-13100"
"269","7800-13200"
"270","7800-13300"
"271","7800-14400"
"272","7800-15300"
"273","7900-8600"
"274","7900-8900"
"275","7900-9300"
"276","7900-9400"
"277","7900-9500"
"278","7900-10200"
"279","7900-11100"
"280","7900-11800"
"281","7900-11900"
"282","7900-12100"
"283","7900-12500"
"284","7900-12600"
"285","7900-12800"
"286","7900-12900"
"287","7900-13100"
"288","7900-15500"
"289","8000-8300"
"290","8000-8400"
"291","8000-8600"
"292","8000-9000"
"293","8000-9100"
"294","8000-9500"
"295","8000-9700"
"296","8000-9900"
"297","8000-10200"
"298","8000-10800"
"299","8000-11500"
"300","8000-11700"
"301","8000-12000"
"302","8000-12200"
"303","8000-12800"
"304","8000-12900"
"305","8000-13200"
"306","8000-13300"
"307","8000-13500"
"308","8100-8300"
"309","8100-8800"
"310","8100-9100"
"311","8100-9700"
"312","8100-9800"
"313","8100-10000"
"314","8100-10700"
"315","8100-11200"
"316","8100-11400"
"317","8100-11500"
"318","8100-11600"
"319","8100-11900"
"320","8100-12200"
"321","8100-12300"
"322","8100-12700"
"323","8100-12800"
"324","8100-12900"
"325","8100-13200"
"326","8100-14200"
"327","8100-14300"
"328","8100-14400"
"329","8100-14500"
"330","8100-14600"
"331","8100-15100"
"332","8200-8000"
"333","8200-8600"
"334","8200-8800"
"335","8200-8900"
"336","8200-9100"
"337","8200-9300"
"338","8200-9500"
"339","8200-9700"
"340","8200-9800"
"341","8200-10100"
"342","8200-10800"
"343","8200-10900"
"344","8200-11000"
"345","8200-11500"
"346","8200-11700"
"347","8200-11800"
